,Start,End,product_name,distance,high_estimate,low_estimate,duration,Name_x,Code,Lat_x,Lon_x,Lat_y,Lon_y,Name_y,Nearest_Metro,StopID,ADDRESS,LATITUDE,LONGITUDE,IN_RANGE
110,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
111,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
112,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
113,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
114,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
115,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
116,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
117,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
118,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
119,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
120,C07,C09,UberXL,1.61,12.0,9.0,480,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
121,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
122,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
123,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
124,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
125,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
126,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
127,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
128,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
129,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
130,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
131,C07,C09,Pool,1.61,9.0,5.0,480,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
132,C07,C09,UberX,1.61,8.0,6.0,480,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
133,C07,C09,UberX,1.61,8.0,6.0,480,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
